word,classification,article,pronunciation,source
Abend,noun,der,[ˈa:bn̩t],en.pons.com
Abenteuer,noun,das,[ˈa:bn̩tɔyɐ],en.pons.com
Abgeordnete,noun,der/die,"[ˈapgəʔɔrdnətə, -tɐ]",en.pons.com
Abitur,noun,das,[abiˈtu:ɐ̯],en.pons.com
Abkommen,noun,das,[ˈapkɔmən],www.collinsdictionary.com
Abschied,noun,der,[ˈapʃi:t],en.pons.com
absolut,adjective,,[apzoˈlu:t],en.pons.com
Absolvent,noun,der,[apzɔlˈvɛnt],en.pons.com
absolvieren,verb,,[apzɔlˈvi:rən],en.pons.com
abstrakt,adjective,,[apˈstrakt],en.pons.com
absurd,adjective,,[apˈzʊrt],en.pons.com
Achse,noun,die,[ˈaksə],en.pons.com
achten,verb,,[ˈaxtn̩],en.pons.com
Adresse,noun,die,[aˈdrɛsə],en.pons.com
Agentur,noun,die,[agɛnˈtu:ɐ̯],en.pons.com
agieren,verb,,[aˈgi:rən],en.pons.com
ahnen,verb,,[ˈa:nən],en.pons.com
Akademie,noun,die,"[akadeˈmi:, pl -ˈmi:ən]",en.pons.com
akademisch,adjective,,[akaˈde:mɪʃ],en.pons.com
Akt,noun,der,[akt],en.pons.com
Akte,noun,die,[ˈaktə],en.pons.com
Akteur,noun,der,[akˈtø:ɐ̯],en.pons.com
Aktie,noun,die,[ˈaktsi̯ə],en.pons.com
Aktion,noun,die,[akˈtsi̯o:n],en.pons.com
Aktionär,noun,der,[aktsi̯oˈnɛ:ɐ̯],en.pons.com
aktiv,adjective,,[akˈti:f],en.pons.com
aktivieren,verb,,[aktiˈvi:rən],en.pons.com
Aktivität,noun,die,[aktiviˈtɛ:t],en.pons.com
aktuell,adjective,,[akˈtu̯ɛl],en.pons.com
akut,adjective,,[aˈku:t],en.pons.com
akzeptieren,verb,,[aktsɛpˈti:rən],en.pons.com
Alkohol,noun,der,[ˈalkoho:l],en.pons.com
allenfalls,adverb,,[ˈalənˈfals],en.pons.com
allerdings,adverb,,[ˈalɐˈdɪŋs],en.pons.com
allgemein,adjective,,[ˈalgəˈmain],en.pons.com
Allianz,noun,die,[aˈli̯ants],en.pons.com
allmählich,adjective,,[alˈmɛ:lɪç],en.pons.com
Alltag,noun,der,[ˈalta:k],en.pons.com
alltäglich,adjective,,[ˈaltɛ:klɪç],en.pons.com
allzu,adverb,,[ˈaltsu:],en.pons.com
also,adverb,,[ˈalzo],en.pons.com
alt,adjective,,[alt],en.pons.com
Alter,noun,das,[ˈaltɐ],en.pons.com
alternativ,adjective,,[altɛrnaˈti:f],en.pons.com
Alternative,noun,die,[altɛrnaˈti:və],en.pons.com
Amt,noun,das,"[amt, pl ˈɛmtɐ]",en.pons.com
analog,adjective,,[anaˈlo:k],en.pons.com
Analyse,noun,die,[anaˈly:zə],en.pons.com
analysieren,verb,,[analyˈzi:rən],en.pons.com
andererseits,adverb,,[ˈandərɐzaits],en.pons.com
anders,adverb,,[ˈandɐs],en.pons.com
aneinander,adverb,,[anʔaiˈnandɐ],en.pons.com
anerkennen,verb,,[ˈanʔɛɐ̯kɛnən],en.pons.com
